start_date,average_trip_duration
2019-10-01,1207.61
2019-10-02,909.5
2019-10-03,1125.57
2019-10-04,1353.76
2019-10-05,1698.68
2019-10-06,2243.91
2019-10-07,1007.6
2019-10-08,1186.3
2019-10-09,1173.92
2019-10-10,1312.08
2019-10-11,914.22
2019-10-12,1405.46
2019-10-13,1662.24
2019-10-14,1227.73
2019-10-15,930.78
2019-10-16,1153.08
2019-10-17,899.7
2019-10-18,1205.94
2019-10-19,2716.58
2019-10-20,2153.28
2019-10-21,932.98
2019-10-22,1457.83
2019-10-23,1212.49
2019-10-24,945.14
2019-10-25,990.85
2019-10-26,1830.83
2019-10-27,1775.2
2019-10-28,895.95
2019-10-29,1157.77
2019-10-30,1375.26
2019-10-31,884.48
2019-11-01,857.58
2019-11-02,1292.82
2019-11-03,1453.59
2019-11-04,944.79
2019-11-05,1120.41
2019-11-06,929.48
2019-11-07,732.56
2019-11-08,1209.34
2019-11-09,1256.55
2019-11-10,1775.87
2019-11-11,764.6
2019-11-12,781.89
2019-11-13,1421.12
2019-11-14,857.43
2019-11-15,772.36
2019-11-16,1172.32
2019-11-17,916.39
2019-11-18,833.17
2019-11-19,831.93
2019-11-20,1324.21
2019-11-21,882.6
2019-11-22,832.3
2019-11-23,1821.22
2019-11-24,1402.26
2019-11-25,901.51
2019-11-26,1217.8
2019-11-27,935.81
2019-11-28,1839.31
2019-11-29,2228.09
2019-11-30,1402.56
2019-12-01,1698.5
2019-12-02,824.67
2019-12-03,1213.85
2019-12-04,730.56
2019-12-05,1042.58
2019-12-06,834.17
2019-12-07,1142.77
2019-12-08,1053.1
2019-12-09,780.61
2019-12-10,699.2
2019-12-11,665.9
2019-12-12,757.23
2019-12-13,1209.66
2019-12-14,1483.5
2019-12-15,898.13
2019-12-16,671.85
2019-12-17,838.98
2019-12-18,623.74
2019-12-19,768.19
2019-12-20,896.44
2019-12-21,1309.46
2019-12-22,1672.11
2019-12-23,868.62
2019-12-24,1414.34
2019-12-25,2028.28
2019-12-26,1455.46
2019-12-27,1105.61
2019-12-28,1474.39
2019-12-29,1509.28
2019-12-30,819.96
2019-12-31,1009.47
